row_id,var_group,var,txt_en,txt_se
2,Govresponse,Govresponse_9,How much do you feel you have enough information from the government to take the necessary actions to minimise your risk from coronavirus?,Hur mycket känner du att du har tillräcklig information från regeringen för att ta nödvändiga åtgärder för att minimera din risk för coronaviruset?
0,Govrestrict,,What do you think of the planned response from the government in the country you are living in?,Vad tycker du om åtgärder planerade av regeringen i det land du bor?
1,Govrestrict,Govrestrict_1,,
2,Govrestrict,Govrestrict_1,I think the response in the past few weeks was...,Jag tycker att åtgärderna de senaste veckorna har varit... 
1,Govrestrict,Govrestrict_2,,
2,Govrestrict,Govrestrict_2,I think the planned response in the next few weeks is...,Jag tycker att åtgärder planerade under de kommande veckorna är... 
1,Govrestrict,Govrestrict_3,,
2,Govrestrict,Govrestrict_3,I think the planned response for the next few months is...,Jag tycker att åtgärder planerade för de kommande månaderna är... 
0,MediaTrust,,"Thinking about the coronavirus/COVID-19 information that you received from each of the following sources, how much did you trust the information?","Tänk på den information om coronaviruset/COVID-19 som du har fått från var och en av följande källor, i hur stor grad litade du på informationen?"
1,MediaTrust,FriendstrustQ1,,
2,MediaTrust,FriendstrustQ1,...friends and family…,...vänner och familj…
1,MediaTrust,govtrustQ1,,
2,MediaTrust,govtrustQ1,government or official sources in the country you are living in,staten eller officiella källor i landet du bor i
1,MediaTrust,journalisttrustQ1,,
2,MediaTrust,journalisttrustQ1,journalists and commentators in the media,journalister och mediarapportörer
1,MediaTrust,PosterstrustQ1,,
2,MediaTrust,PosterstrustQ1,official public posters,officiella affischer för allmänheten
1,MediaTrust,SocialmediatrustQ1,,
2,MediaTrust,SocialmediatrustQ1,social media,sociala medier
1,MediaTrust,WHOtrustQ1,,
2,MediaTrust,WHOtrustQ1,World Health Organisation,Världshälsoorganisationen (WHO)
1,MediaTrust,workplacetrustQ1,,
2,MediaTrust,workplacetrustQ1,your place of work or education,din arbetsplats eller utbildning
0,KnowledgeCert,,How certain or uncertain do you think the following are:,Hur säker eller osäker tycker du att följande är:
1,KnowledgeCert,KnowledgeCert_1,,
2,KnowledgeCert,KnowledgeCert_1,The current scientific knowledge about the coronavirus/COVID-19?,Aktuell vetenskaplig kunskap om coronaviruset/COVID-19?
1,KnowledgeCert,KnowledgeCert_2,,
2,KnowledgeCert,KnowledgeCert_2,The estimates of the number of cases of coronavirus/COVID-19 worldwide,Uppskattningar av antal fall av coronaviruset/COVID-19 i världen 
0,Longitude,,"Thinking back, how worried were you about coronavirus/COVID-19... ","Tänk tillbaka, hur orolig var du för coronavirus/COVID-19 för..."
1,Longitude,Longitude_1,,
2,Longitude,Longitude_1,… 1 week ago?,… 1 vecka sedan?
1,Longitude,Longitude_2,,
2,Longitude,Longitude_2,…1 month ago?,…1 månad sedan?
1,Longitude,Longitude_3,,
2,Longitude,Longitude_3,…2 months ago?,…2 månader sedan?
0,MediaExp,,Have you come across information about coronavirus/COVID-19 from:,Har du tagit del av information om coronaviruset/COVID-19 från:
1,MediaExp,MediaExp_1,,
2,MediaExp,MediaExp_1,Official public posters,Officiella offentliga affischer
1,MediaExp,MediaExp_2,,
2,MediaExp,MediaExp_2,Social media or online blogs from individuals,Sociala medier eller individers bloggar på nätet 
1,MediaExp,MediaExp_3,,
2,MediaExp,MediaExp_3,"Journalists and commentators in the media (TV, radio, newspapers)","Journalister och kommentatorer i media (TV, radio, tidningar)"
1,MediaExp,MediaExp_4,,
2,MediaExp,MediaExp_4,Government or official sources such as websites or public speeches/broadcasts within the country you are living in,Statliga eller officiella källor såsom hemsidor eller offentliga tal/sändningar inom landet du bor i
1,MediaExp,MediaExp_5,,
2,MediaExp,MediaExp_5,Official messages from your place of work or education,Officiella meddelanden från din arbetsplats eller utbildning
1,MediaExp,MediaExp_6,,
2,MediaExp,MediaExp_6,Friends and family,Vänner och familj
1,MediaExp,MediaExp_7,,
2,MediaExp,MediaExp_7,World Health Organisation,Världshälsoorganisationen (WHO)
0,Numeracy,,Numeracy questions,Räkenskapsfrågor
1,Numeracy,Num1,"Out of 1,000 people in a small town 500 are members of a choir.
Out of these 500 members in the choir 100 are men.
Out of the 500 inhabitants that are not in the choir 300 are men.
What is the probability that a randomly drawn man is a member of the choir?
Please indicate the probability in percent.
____ %",Utav 1 000 personer i en liten stad, är 500 medlemmar i en kör. Utav dessa 500 medlemmar i kören, är 100 män. Utav de 500 invånarna som inte är med i kören, är 300 män. Vad är sannolikheten att en slumpmässigt vald man är medlem i kören? Vänligen ange sannolikheten i procent. ____%
2,Numeracy,Num1,,
1,Numeracy,Num2a,"Imagine we are throwing a five-sided die 50 times.
On average, out of these 50 throws how many times would this five-sided die show an odd number (1, 3 or 5)?
____ out of 50 throws.","Föreställ dig att vi kastar en femsidig tärning 50 gånger. I hur många av dessa 50 kast, kommer denna femsidiga tärning visa ett udda antal (1, 3 or 5) i genomsnitt? ____ av 50 kast."
2,Numeracy,Num2a,,
1,Numeracy,Num2b,"Imagine we are throwing a loaded die (6 sides) 70 times.
The probability that the die shows a 6 is twice as high as the probability of each of the other numbers.
On average, out of these 70 throws how many times would the die show the number 6?
____ out of 70 throws.","Föreställ dig att vi kastar en skev tärning (6 sidor) 70 gånger. Sannolikheten att tärningen visar en 6a är dubbelt så stor som sannolikheten för vart och ett av de andra sidorna. I hur många av dessa 70 kast kommer tärningen visa siffran 6 i genomsnitt? ____ av 70 kast."
2,Numeracy,Num2b,,
1,Numeracy,Num3,"In a forest 20% of mushrooms are red, 50% brown and 30% white.
A red mushroom is poisonous with a probability of 20%.
A mushroom that is not red is poisonous with a probability of 5%.
What is the probability that a poisonous mushroom in the forest is red?
____ %","I en skog är 20% av svamparna röda, 50% bruna och 30% vita. En röd svamp är giftig med sannolikheten 20%. En svamp som inte är röd är giftig med en sannolikhet på 5%. Vad är sannolikheten att en giftig svamp i skogen är röd? ____%"
2,Numeracy,Num3,,
1,Numeracy,NumeracyQ1,Which represents the highest risk of something happening?,Vilket representerar den högsta risken att något händer? 
2,Numeracy,NumeracyQ1,,
0,Personal,,How likely do you think it is that you will be directly and personally affected by the following in the next 6 months?,Hur troligt är det att du kommer bli direkt och personligen påverkad av följande under de kommande 6 månaderna?
1,Personal,Personal_1,,
2,Personal,Personal_1,Crime,Brottslighet
1,Personal,Personal_2,,
2,Personal,Personal_2,Financial problems,Ekonomiska problem
1,Personal,Personal_3,,
2,Personal,Personal_3,Discrimination,Diskriminering
1,Personal,Personal_4,,
2,Personal,Personal_4,Indecent or antisocial behaviour by others,Olämpligt eller osocialt beteende av andra
1,Personal,Personal_5,,
2,Personal,Personal_5,Injustice,Orättvisa
1,Personal,Personal_6,,
2,Personal,Personal_6,Corruption or fraud,Korruption eller bedrägeri
1,Personal,Personal_7,,
2,Personal,Personal_7,Immigration,Invandring
1,Personal,Personal_8,,
2,Personal,Personal_8,Catching the coronavirus/COVID-19,Bli smittad med coronavirus/COVID-19
1,Politics,Politics,Where do you feel your political views lie on a spectrum of left wing (or liberal) to right wing (or conservative)?,Var känner du att du ligger politiskt på en skala från vänster (eller liberal) till höger (eller konservativ)?
2,Politics,Politics,,
1,prep,prep,"Which of the following steps, if any, have you taken in the last month to prepare for the possibility of many cases of the coronavirus/COVID-19 in your community? Select all that apply.","Vilka av följande steg, om några, har du tagit under den senaste månaden för att förbereda dig för möjligheten av många fall av coronaviruset/COVID-19 i ditt samhälle? Välj alla som stämmer."
2,prep,prep,,
1,prosocial,prosocial,To what extent do you think it’s important to do things for the benefit of others and society even if they have some costs to you personally?,I hur stor grad anser du att det är viktigt att göra saker till nytta för andra och samhället även om dessa saker kan innebära en personlig kostnad för dig?
2,prosocial,prosocial,,
1,quota_age,quota_age,What is your age?,Hur gammal är du?
2,quota_age,quota_age,,
1,Residency,Residency,In which country do you currently live?,Vilket land bor du i för närvarande?
2,Residency,Residency,,
1,SARS,SARS,"Have you personally been affected by a previous similar epidemic, such as SARS (Severe Acute Respiratory Syndrome), MERS (Middle East Respiratory Syndrome) or Ebola?","Har du personligen blivit påverkad av liknande epidemier såsom SARS (Severe Acute Respiratory Syndrome), MERS (Middle East Respiratory Syndrome) eller Ebola?"
2,SARS,SARS,,
1,Sciunderstand,Sciunderstand,To what extent do you think scientists have a good understanding of the coronavirus/COVID-19?,I hur stor grad tror du att forskare har en god förståelse av coronaviruset/COVID-19?
2,Sciunderstand,Sciunderstand,,
1,Soughtinfo,Soughtinfo,Have you sought out information specifically about coronavirus/COVID-19?,Har du sökt specifik information om coronaviruset/COVID-19?
2,Soughtinfo,Soughtinfo,,
0,Trustingroups,,How much do you trust each of the following?,Hur mycket litar du på vart och ett av följande?
1,Trustingroups,Trustingroups_1,,
2,Trustingroups,Trustingroups_1,People in your family,Personer i din familj
1,Trustingroups,Trustingroups_10,,
2,Trustingroups,Trustingroups_10,Journalists,Journalister
1,Trustingroups,Trustingroups_11,,
2,Trustingroups,Trustingroups_11,The current government of the country you are living in,Den nuvarande regeringen i landet där du bor 
1,Trustingroups,Trustingroups_12,,
2,Trustingroups,Trustingroups_12,Scientific knowledge,Vetenskaplig kunskap
1,Trustingroups,Trustingroups_13,,
2,Trustingroups,Trustingroups_13,Civil servants or public officials in the country you are living in,Statstjänstemän och tjänstemän i landet där du bor 
1,Trustingroups,Trustingroups_2,,
2,Trustingroups,Trustingroups_2,People in your neighbourhood,Personer i ditt grannskap
1,Trustingroups,Trustingroups_3,,
2,Trustingroups,Trustingroups_3,People you work or study with,Personer du arbetar eller studerar med
1,Trustingroups,Trustingroups_4,,
2,Trustingroups,Trustingroups_4,People who speak a different language from you,Personer som talar ett annat språk än vad du gör
1,Trustingroups,Trustingroups_5,,
2,Trustingroups,Trustingroups_5,Strangers,Främlingar
1,Trustingroups,Trustingroups_6,,
2,Trustingroups,Trustingroups_6,Immigrants,Invandrare
1,Trustingroups,Trustingroups_7,,
2,Trustingroups,Trustingroups_7,Medical doctors and nurses,Läkare och sjuksköterskor
1,Trustingroups,Trustingroups_8,,
2,Trustingroups,Trustingroups_8,Scientists,Forskare
1,Trustingroups,Trustingroups_9,,
2,Trustingroups,Trustingroups_9,Politicians in the country you are living in,Politiker i landet du bor i
0,Vaccine,,If a vaccine were to be available for the coronavirus/COVID-19 now:,Om ett vaccin blir tillgängligt för coronaviruset/COVID-19 just nu:
1,Vaccine,Vaccine_1,,
2,Vaccine,Vaccine_1,Would you get vaccinated yourself?,Skulle du vaccinera dig?
1,Vaccine,Vaccine_2,,
2,Vaccine,Vaccine_2,Would you recommend vulnerable friends/family to get vaccinated?,Skulle du rekommendera utsatta vänner/familj att bli vaccinerade?
